#Primitive	SeqNo	Name	Type	Description
String	0	NCHAR	Count	Number of octets
String	1	uint8[NCHAR]	CHARS	Array of octets (UTF-8)
# Per-shape state also includes: shape- and representation- specific data
Shape	0	NCHAR	Count	Number of octets
Shape	1	SID	ShapeID	Shape identifier
# Also used for re-serialisation; may be converted to canonical form internally
Shape	2	RID	RepID	Representation identifier

# Internal
# Shape	3	NDIM	Count	Number of dimensions
# Shape	4	DIMS	Index[NDIM]	Object dimensionality (dimension numbers in use)
# Shape	5	PROPS	Props	Shape properties (point size, line width, text font/size etc.)

RPoint1D	0	P1	Vertex1D	Point coordinate
RPoint2D	0	P1	Vertex2D	Point coordinates
RPoint3D	0	P1	Vertex3D	Point coordinates
RPoints1D	0	NPOINTS	Count	Number of points
RPoints1D	1	POINTS	Vertex1D[NPOINTS]	Array of point coordinates
RPoints2D	0	NPOINTS	Count	Number of points
RPoints2D	1	POINTS	Vertex2D[NPOINTS]	Array of point coordinates
RPoints3D	0	NPOINTS	Count	Number of points
RPoints3D	1	POINTS	Vertex3D[NPOINTS]	Array of point coordinates
RVector1D	0	V1	Vector1D	Vector
RVector2D	0	V1	Vector2D	Vector
RVector3D	0	V1	Vector3D	Vector
RVectors1D	0	NVEC	Count	Number of vectors
RVectors1D	1	VA1	Vector1D[NVEC]	Array of vectors
RVectors2D	0	NVEC	Count	Number of vectors
RVectors2D	1	VA1	Vector2D[NVEC]	Array of vectors
RVectors3D	0	NVEC	Count	Number of vectors
RVectors3D	1	VA1	Vector3D[NVEC]	Array of vectors
RLinePoints1D	0	P1	Vertex1D[2]	Line start and end points
RLinePoints2D	0	P1	Vertex2D[2]	Line start and end points
RLinePoints3D	0	P1	Vertex3D[2]	Line start and end points
RLineVector1D	0	P1	Vertex1D	Line start
RLineVector2D	0	P1	Vertex2D	Line start
RLineVector2D	1	V1	Vector2D	Line end (relative to P1)
RLineVector3D	0	P1	Vertex3D	Line start
RLineVector3D	1	V1	Vector3D	Line end (relative to P1)
RLinesPoints2D	0	NLINES	Count	Number of lines
RLinesPoints1D	1	LINES	RLinePoints1D[NLINES]	Array of line points
RLinesPoints1D	0	NLINES	Count	Number of lines
RLinesPoints2D	1	LINES	RLinePoints2D[NLINES]	Array of line points
RLinesPoints3D	0	NLINES	Count	Number of lines
RLinesPoints3D	1	LINES	RLinePoints3D[NLINES]	Array of line points
RLinesVectors1D	0	NLINES	Count	Number of lines
RLinesVectors1D	1	LINES	RLineVector1D[NLINES]	Array of line vectors
RLinesVectors2D	0	NLINES	Count	Number of lines
RLinesVectors2D	1	LINES	RLineVector2D[NLINES]	Array of line vectors
RLinesVectors3D	0	NLINES	Count	Number of lines
RLinesVectors3D	1	LINES	RLineVector3D[NLINES]	Array of line vectors
RPolylinePoints1D	0	P1	RPoints1D	Array of points
RPolylinePoints2D	0	P1	RPoints2D	Array of points
RPolylinePoints3D	0	P1	RPoints3D	Array of points
RPolylineVector1D	0	P1	Vertex1D	First point
RPolylineVector1D	1	V1	RVectors1D	Array of vectors
RPolylineVector2D	0	P1	Vertex2D	First point
RPolylineVector2D	1	V1	RVectors2D	Array of vectors
