#Primitive	BinType	C++Type	JavaType	Description
ShapeID	uint16	uint16_t	short	Numeric shape identifier
DimConstraintID	uint16	uint16_t	short	Numeric dimensional constraint identifier
RepID	uint16	uint16_t	short	Numeric shape representation identifier
Count	uint32	int32_t	int	Number of objects
Index	uint32	uint32_t	int	Index into an array
Value	double	double	double	Numerical value
Operator	uint8	enum	enum	Mathematical operator
BLogic	uint8	enum	enum	Bitwise binary logical operator
Colour	double[4]	double[4]	double[4]	Colour in RGBA (0,1) range
Vertex1D	double	double	scijava.roi.types.Point1D	Vertex in 1D
Vertex2D	double[2]	glm::detail::tvec2<double>	scijava.roi.types.Point2D	Vertex in 2D
Vertex3D	double[3]	glm::detail::tvec2<double>	scijava.roi.types.Point3D	Vertex in 3D
Vector1D	double	double	scijava.roi.types.Vector1D	Vector in 1D
Vector2D	double[2]	glm::detail::tvec2<double>	scijava.roi.types.Vector2D	Vector in 2D
Vector3D	double[3]	glm::detail::tvec3<double>	scijava.roi.types.Vector3D	Vector in 3D
Affine1D	double[2][2]	glm::detail::tmat2x2<double>	scijava.roi.types.Matrix2D	Affine transform in 1D
Affine2D	double[3][3]	glm::detail::tmat3x3<double>	scijava.roi.types.Matrix3D	Affine transform in 2D
Affine3D	double[4][4]	glm::detail::tmat4x4<double>	scijava.roi.types.Matrix4D	Affine transform in 3D
String	compound	std::string	String	Text string
Shape	compound	scijava::roi::shape	scijava.roi.shape	Abstract shape
Representation	compound	scijava::roi::representation	scijava.roi.representation	Abstract shape representation
