#Representation	Dims	SeqNo	Name	Type	Description
RPoint	1D	0	P1	Vertex1D	Point coordinate
RPoint	2D	0	P1	Vertex2D	Point coordinates
RPoint	3D	0	P1	Vertex3D	Point coordinates
RPoints	1D	0	NPOINTS	Count	Number of points
RPoints	1D	1	POINTS	Vertex1D[NPOINTS]	Array of point coordinates
RPoints	2D	0	NPOINTS	Count	Number of points
RPoints	2D	1	POINTS	Vertex2D[NPOINTS]	Array of point coordinates
RPoints	3D	0	NPOINTS	Count	Number of points
RPoints	3D	1	POINTS	Vertex3D[NPOINTS]	Array of point coordinates
RVector	1D	0	V1	Vector1D	Vector
RVector	2D	0	V1	Vector2D	Vector
RVector	3D	0	V1	Vector3D	Vector
RVectors	1D	0	NVEC	Count	Number of vectors
RVectors	1D	1	VA1	Vector1D[NVEC]	Array of vectors
RVectors	2D	0	NVEC	Count	Number of vectors
RVectors	2D	1	VA1	Vector2D[NVEC]	Array of vectors
RVectors	3D	0	NVEC	Count	Number of vectors
RVectors	3D	1	VA1	Vector3D[NVEC]	Array of vectors
RLinePoints	1D	0	P1	Vertex1D[2]	Line start and end points
RLinePoints	2D	0	P1	Vertex2D[2]	Line start and end points
RLinePoints	3D	0	P1	Vertex3D[2]	Line start and end points
RLineVector	1D	0	P1	Vertex1D	Line start
RLineVector	2D	0	P1	Vertex2D	Line start
RLineVector	2D	1	V1	Vector2D	Line end (relative to P1)
RLineVector	3D	0	P1	Vertex3D	Line start
RLineVector	3D	1	V1	Vector3D	Line end (relative to P1)
RLinesPoints	2D	0	NLINES	Count	Number of lines
RLinesPoints	1D	1	LINES	RLinePoints1D[NLINES]	Array of line points
RLinesPoints	1D	0	NLINES	Count	Number of lines
RLinesPoints	2D	1	LINES	RLinePoints2D[NLINES]	Array of line points
RLinesPoints	3D	0	NLINES	Count	Number of lines
RLinesPoints	3D	1	LINES	RLinePoints3D[NLINES]	Array of line points
RLinesVectors	1D	0	NLINES	Count	Number of lines
RLinesVectors	1D	1	LINES	RLineVector1D[NLINES]	Array of line vectors
RLinesVectors	2D	0	NLINES	Count	Number of lines
RLinesVectors	2D	1	LINES	RLineVector2D[NLINES]	Array of line vectors
RLinesVectors	3D	0	NLINES	Count	Number of lines
RLinesVectors	3D	1	LINES	RLineVector3D[NLINES]	Array of line vectors
RPolylinePoints	1D	0	P1	RPoints1D	Array of points
RPolylinePoints	2D	0	P1	RPoints2D	Array of points
RPolylinePoints	3D	0	P1	RPoints3D	Array of points
RPolylineVector	1D	0	P1	Vertex1D	First point
RPolylineVector	1D	1	V1	RVectors1D	Array of vectors
RPolylineVector	2D	0	P1	Vertex2D	First point
RPolylineVector	2D	1	V1	RVectors2D	Array of vectors
RPolylineVector	3D	0	P1	Vertex3D	First point
RPolylineVector	3D	1	V1	RVectors3D	Array of vectors
RAlignedSquare1	2D	0	P1	Vertex2D	First corner
RAlignedSquare1	2D	1	P2	Vertex1D	x coordinate of adjacent/opposing corner
RAlignedSquare2	2D	0	P1	Vertex2D	First corner
RAlignedSquare2	2D	1	P2	Vector1D	distance to adjacent corner on x axis (relative to P1)

RCube1	3D	0	P1	RLinePoints3D	Corner and adjacent corner
RCube2	3D	0	P1	RLineVector3D	Corner and vector to adjacent corner
RAlignedCuboid1	3D	0	P1	RLinePoints3D	Corner and opposing corner
RAlignedCuboid2	3D	0	P1	RLineVector3D	Corner and vector to opposing corner
RAlignedRectangle1	2D	0	P1	RLinePoints2D	Corner and opposing corner
RAlignedRectangle2	2D	0	P1	RLineVector2D	Corner and vector to opposing corner
RSquare1	2D	0	P1	RLinePoints2D	Corner and opposing corner
RSquare2	2D	0	P1	RLineVector2D	Corner and vector to opposing corner

RAlignedCube1	3D	0	P1	Vertex3D	First corner
RAlignedCube1	3D	1	P2	Vertex1D	x coordinate of adjacent/opposing corner
RAlignedCube2	3D	0	P1	Vertex3D	First corner
RAlignedCube2	3D	1	P2	Vector1D	distance to adjacent corner on x axis (relative to P1)
RRectangle1	2D	0	P1	Vertex2D	First corner
RRectangle1	2D	1	P2	Vertex2D	Adjacent corner
RRectangle1	2D	2	V1	Vector1D	Distance to corner opposing P1 (relative to P2)
RRectangle2	2D	0	P1	Vertex2D	First corner
RRectangle2	2D	1	V1	Vector2D	Distance to adjacent corner (relative to P1)
RRectangle2	2D	2	V2	Vector1D	Distance to corner opposing P1 (relative to P2)
RCuboid1	3D	0	P1	Vertex3D	First corner
RCuboid1	3D	1	P2	Vertex3D	Second corner (adjacent to P1)
RCuboid1	3D	2	V1	Vector2D	Distance to third corner (adjacent to P2)
RCuboid1	3D	3	V2	Vector1D	Distance to fourth corner (opposing P1, adjacent to V1)
RCuboid2	3D	0	P1	Vertex3D	First corner
RCuboid2	3D	1	V1	Vector3D	Distance to second corner (relative to P1)
RCuboid2	3D	2	V2	Vector2D	Distance to third corner (relative to V1)
RCuboid2	3D	3	V3	Vector1D	Distance to fourth corner (relative to V2, opposing P1)
RCircle0	2D	0	P1	Vertex2D	Centre point
RCircle0	2D	1	P2	Vertex2D	Circumference point
RCircle1	2D	0	P1	Vertex2D	Centre point
RCircle1	2D	1	V1	Vector1D	Radius
RCircle2	2D	0	P1	Vertex2D	Centre point
RCircle2	2D	1	V1	Vector2D	Radius
RCircle3	2D	0	P1	Vertex2D	Point on circumference
RCircle3	2D	1	V1	Vector2D	Vector to centre
RCircle4	2D	0	P1	Vertex2D[2]	Two points on circumference
RCircle5	2D	0	P1	Vertex2D[3]	Three points on circumference
RSphere0	3D	0	P1	Vertex3D	Centre point
RSphere0	3D	1	P2	Vertex3D	Surface point
RSphere1	3D	0	P1	Vertex3D	Centre point
RSphere1	3D	1	V1	Vector1D	Radius
RSphere2	3D	0	P1	Vertex3D	Centre point
RSphere2	3D	1	V1	Vector2D	Radius
RSphere3	3D	0	P1	Vertex3D	Centre point
RSphere3	3D	1	V1	Vector3D	Radius
RSphere4	3D	0	P1	Vertex3D	Point on surface
RSphere4	3D	1	V1	Vector3D	Vector to centre
RSphere5	3D	0	P1	Vertex3D[2]	Two points on surface
RSphere6	3D	0	P1	Vertex3D[4]	Four points on surface
RAlignedHalfAxes	2D	0	P1	Vertex2D	Centre point
RAlignedHalfAxes	2D	1	V1	Vector2D	Half axes (x,y)
RHalfAxes	2D	0	P1	Vertex2D	Centre point
RHalfAxes	2D	1	V1	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
RHalfAxes	2D	2	V1	Vector1D	Half axes (x)
REllipseCovariance	2D	0	P1	Vertex2D	Centre point (mean)
REllipseCovariance	2D	1	COV1	double[2][2]	2 × 2 covariance matrix
RAlignedHalfAxes	3D	0	P1	Vertex3D	Centre point
RAlignedHalfAxes	3D	1	V1	Vector3D	Half axes (x,y,z)
RHalfAxes	3D	0	P1	Vertex3D	Centre point
RHalfAxes	3D	1	V1	Vector3D	Half axes (xyz)
# Is the dimensionality of the half axes correct here?
RHalfAxes	3D	2	V2	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
RHalfAxes	3D	3	V3	Vector1D	Half axes (x)
