#RepID	Representation	Dims	Description
0	RPoint	1D	A single point in 1D
1	RPoint	2D	A single point in 2D
2	RPoint	3D	A single point in 3D
3	RPoints	1D	A list of points in 1D
4	RPoints	2D	A list of points in 2D
5	RPoints	3D	A list of points in 3D
6	RVector	1D	A vector in 1D
7	RVector	2D	A vector in 2D
8	RVector	3D	A vector in 3D
9	RVectors	1D	A list of vectors in 1D
10	RVectors	2D	A list of vectors in 2D
11	RVectors	3D	A list of vectors in 3D
12	RLinePoints	1D	A line described by two points in 1D
13	RLinePoints	2D	A line described by two points in 2D
14	RLinePoints	3D	A line described by two points in 3D
15	RLineVector	1D	A line described by a point and a vector
16	RLineVector	2D	A line described by a point and a vector
17	RLineVector	3D	A line described by a point and a vector
18	RLinesPoints	2D	A list of lines described by two points in 2D
19	RLinesPoints	3D	A list of lines described by two points in 3D
20	RLinesVectors	2D	A list of lines described by a point and a vector in 2D; can be used to represent a vector field
21	RLinesVectors	3D	A list of lines described by a point and a vector in 3D; can be used to represent a vector field
22	RPolylinePoints	2D	A list of points in a polyline in 2D [could use RPoints2D directly]
23	RPolylinePoints	3D	A list of points in a polyline in 3D [could use RPoints3D directly]
24	RPolylineVector	2D	A list of points in a polyline represented by a starting point and list of vectors in 2D
25	RPolylineVector	3D	A list of points in a polyline represented by a starting point and list of vectors in 3D
26	RAlignedSquare1	2D	A square in 2D aligned with the axes described by a corner point and adjacent corner
27	RAlignedSquare2	2D	A square in 2D aligned with the axes described by a corner point and vector to an adjacent corner
28	RAlignedCube1	3D	A cube in 3D aligned with the axes described by a corner point and adjacent corner
29	RAlignedCube2	3D	A cube in 3D aligned with the axes described by a corner point and vector to an adjacent corner
30	RRectangle1	2D	A rectangle in 2D described by two corner points and a vector
31	RRectangle2	2D	A rectangle in 2D described by a corner point and two vectors
32	RCuboid1	3D	A cuboid in 3D described by two adjacent corners and two vectors
33	RCuboid2	3D	A cuboid in 3D described by a corner and three vectors
341	RCircle0	2D	A circle in 2D described by a centre point and circumference point
34	RCircle1	2D	A circle in 2D described by a centre point and 1D radius
35	RCircle2	2D	A circle in 2D described by a centre point and 2D radius
36	RCircle3	2D	A circle in 2D described by a circumference point and vector to the centre point
371	RCircle4	2D	A circle in 2D described by two circumference points [diameter]
37	RCircle5	2D	A circle in 2D described by three circumference points
381	RSphere0	3D	A sphere in 3D described by a centre point and surface point
38	RSphere1	3D	A sphere in 3D described by a centre point and 1D radius
39	RSphere2	3D	A sphere in 3D described by a centre point and 2D radius
40	RSphere3	3D	A sphere in 3D described by a centre point and 3D radius
41	RSphere4	3D	A sphere in 3D described by a surface point and vector to the centre point
421	RSphere5	3D	A sphere in 3D described by a two surface points [diameter]
42	RSphere6	3D	A sphere in 3D described by a four surface points
43	RAlignedHalfAxes	2D	An ellipse in 2D aligned with the axes described by two half axes
44	RHalfAxes	2D	An ellipse in 2D described by two half axes
45	REllipseCovariance	2D	An ellipse in 2D described by a centre point and covariance matrix (Mahalanbobis distance)
46	RAlignedHalfAxes	3D	An ellipsoid in 3D aligned with the axes
47	RHalfAxes	3D	An ellipsoid in 3D described by three half axes
48	REllipsoidCovariance	3D	An ellipsoid in 3D described by a centre point and covariance matrix (Mahalanbobis distance)
