#Shape	ShapeDim	InheritShape	InheritShapeDim	In	Out
Lines	3D	Line	3D	true	true
#AlignedRectangle	2D	AlignedEllipse	2D	true	true
# Width implied from ROI line width	true	true
#Rectangle	2D	Line	2D	true	true
# NOTE: Ambigouous shared representation; AlignedRectangle 2D needs dedicated representation?	true	true
#Rectangle	2D	AlignedRectangle	2D	true	true
# Also inherits AlignedEllipse implicitly	true	true
#Rectangle	2D	Ellipse	2D	true	true
#AlignedCuboid	3D	AlignedEllipsoid	3D	true	true
# Width implied from ROI line width	true	true
#Cuboid	3D	Line	3D	true	true
# NOTE: Ambigouous shared representation; AlignedCuboid 3D needs dedicated representation?	true	true
#Cuboid	3D	AlignedCuboid	3D	true	true
# Also inherits AlignedEllipsoid implicitly	true	true
#Cuboid	3D	Ellipsoid	3D	true	true
# radius implied from ROI point radius	true	true
#Circle	2D	Point	2D	true	true
# centre and radius implied from bounding square	true	true
#Circle	2D	Square	2D	true	true
# radius implied from ROI point radius	true	true
#Sphere	3D	Point	3D	true	true
# centre and radius implied from bounding cube	true	true
#Sphere	3D	Cube	3D	true	true
#AlignedEllipse	2D	AlignedRectangle	2D	true	true
# Also inherits AlignedRectangle implicitly	true	true
#Ellipse	2D	AlignedEllipse	2D	true	true
#Ellipse	2D	Rectangle	2D	true	true
#Ellipse	2D	Circle	2D	true	true
#AlignedEllipsoid	3D	AlignedCuboid	3D	true	true
#Ellipsoid	3D	AlignedEllipsoid	3D	true	true
# Also inherits AlignedCuboid implicitly	true	true
Ellipsoid	3D	Cuboid	3D	true	true
#Ellipsoid	3D	Sphere	3D	true	true
#Square	2D	AlignedSquare	2D	true	true
#Cube	3D	AlignedCube	3D	true	true
#EllipticCylinder	3D	CircularCylinder	3D	true	true
#EllipticCylinder	3D	AlignedEllipticCylinder	3D	true	true
#CircularCylinder	3D	AlignedCircularCylinder	3D	true	true
AbstractTransform	3D	AffineTransform	3D	true	true
Scale	3D	Line	3D	true	false
Grid	3D	Cuboid	3D	true	false
