#Shape	ShapeDim	Representation	RepDim	In	Out	Canonical	Details
Point	3D	RPoint	1D	true	true	false	
Point	3D	RPoint	2D	true	true	false	
Point	3D	RPoint	3D	true	true	true	
Points	3D	RPoints	1D	true	true	false	
Points	3D	RPoints	2D	true	true	false	
Points	3D	RPoints	3D	true	true	true	
Line	3D	RLinePoints	1D	true	true	false	
Line	3D	RLineVector	1D	true	true	false	
Line	3D	RLinePoints	2D	true	true	false	
Line	3D	RLineVector	2D	true	true	false	
Line	3D	RLinePoints	3D	true	true	true	
Line	3D	RLineVector	3D	true	true	false	
Lines	3D	RLinesPoints	1D	true	true	false	
Lines	3D	RLinesVectors	1D	true	true	false	
Lines	3D	RLinesPoints	2D	true	true	false	
Lines	3D	RLinesVectors	2D	true	true	false	
Lines	3D	RLinesPoints	3D	true	true	true	
Lines	3D	RLinesVectors	3D	true	true	false	
Polyline	3D	RPolylinePoints	1D	true	true	false	
Polyline	3D	RPolylineVector	1D	true	true	false	
Polyline	3D	RPolylinePoints	2D	true	true	false	
Polyline	3D	RPolylineVector	2D	true	true	false	
Polyline	3D	RPolylinePoints	3D	true	true	true	
Polyline	3D	RPolylineVector	3D	true	true	false	
Polygon	3D	RPolylinePoints	1D	true	true	false	
Polygon	3D	RPolylineVector	1D	true	true	false	
Polygon	3D	RPolylinePoints	2D	true	true	false	
Polygon	3D	RPolylineVector	2D	true	true	false	
Polygon	3D	RPolylinePoints	3D	true	true	true	
Polygon	3D	RPolylineVector	3D	true	true	false	
Cuboid	3D	RAlignedSquare1	2D	true	true	false	
Cuboid	3D	RAlignedSquare2	2D	true	true	false	
Cuboid	3D	RSquare1	2D	true	true	false	
Cuboid	3D	RSquare2	2D	true	true	false	
Cuboid	3D	RAlignedCube1	3D	true	true	false	
Cuboid	3D	RAlignedCube2	3D	true	true	false	
Cuboid	3D	RCube1	3D	true	true	true	First corner and opposing corner
Cuboid	3D	RCube2	3D	true	true	false	First corner and opposing corner (relative to P1)
Cuboid	3D	RAlignedRectangle1	2D	true	true	true	First corner and opposing corner
Cuboid	3D	RAlignedRectangle2	2D	true	true	false	First corner and opposing corner (relative to P1)
