ShapeID	Shape	Description
0	Point2D	Shape
1	Point3D	Shape
2	Points2D	Shape
3	Points3D	Shape
4	Line2D	Shape
5	Line3D	Shape
6	Distance2D	Shape
7	Distance3D	Shape
8	Polyline2D	Shape
9	Polyline3D	Shape
10	Polygon2D	Shape
11	Polygon3D	Shape
12	Polydistance2D	Shape
13	Polydistance3D	Shape
14	AlignedSquare2D	Shape
15	AlignedCube3D	Shape
16	Cube3D	Shape
17	AlignedRectangle2D	Shape
18	Rectangle2D	Shape
19	AlignedCuboid3D	Shape
20	Cuboid3D	Shape
21	Circle2D	Shape
22	Sphere3D	Shape
23	AlignedEllipse2D	Shape
24	Ellipse2D	Shape
25	AlignedEllipsoid3D	Shape
26	Ellipsoid3D	Shape
26	Ellipsoid3D
27	PolylineSpline2D	Shape
28	PolylineSpline3D	Shape
29	PolygonSpline2D	Shape
30	PolygonSpline3D	Shape
31	AlignedCircularCylinder3D
32	CircularCylinder3D	Shape
33	AlignedEllipticCylinder3D	Shape
34	EllipticCylinder3D	Shape
35	Arc2D	Shape
36	Arc3D	Shape
37	GreyMask1D
38	BitMask1D
39	GreyMask2D	Shape
40	BitMask2D	Shape
41	GreyMask3D	Shape
42	BitMask3D	Shape
43	Mesh2D	Shape
44	Mesh3D	Shape
45	AffineTransform1D	Shape
46	AffineTransform2D	Shape
47	AffineTransform3D	Shape
