#Type	Canonical representation
scijava.roi.shape.Point	scijava.roi.types.Point3D
scijava.roi.shape.Points	scijava.roi.types.Points3D
scijava.roi.shape.Line	scijava.roi.types.LinePoints3D
scijava.roi.shape.Lines	scijava.roi.types.LinesPoints3D
scijava.roi.shape.Polyline	scijava.roi.types.PolylinePoints3D
scijava.roi.shape.Polygon	scijava.roi.types.PolylinePoints3D
scijava.roi.shape.Cuboid	scijava.roi.types.Cuboid13D
scijava.roi.shape.Ellipsoid	scijava.roi.types.HalfAxes3D
scijava.roi.shape.PolylineSpline	scijava.roi.types.PolylinePoints3D
scijava.roi.shape.PolygonSpline	scijava.roi.types.PolylinePoints3D
scijava.roi.shape.Cylinder	scijava.roi.types.EllipticCylinder13D
scijava.roi.shape.Arc	scijava.roi.types.Arc13D
scijava.roi.shape.GreyMask	scijava.roi.types.GreyMask3D
scijava.roi.shape.BitMask	scijava.roi.types.BitMask3D
scijava.roi.shape.Mesh	scijava.roi.types.Mesh3D
scijava.roi.shape.AffineTransform	scijava.roi.types.AffineTransform3D
scijava.roi.shape.AbstractTransform	scijava.roi.types.AbstractTransform3D
scijava.roi.annotation.Text	scijava.roi.types.Text2D
scijava.roi.shape.Set	scijava.roi.types.ShapeSet3D
scijava.roi.shape.Bitwise	scijava.roi.types.Bitwise3D
scijava.roi.shape.Custom	scijava.roi.types.Custom3D
scijava.roi.dimconstraint.Value	scijava.roi.types.ValuenD
scijava.roi.dimconstraint.Values	scijava.roi.types.ValuesnD
scijava.roi.dimconstraint.Range	scijava.roi.types.Range1nD
scijava.roi.dimconstraint.ExtrudeDim	scijava.roi.types.ExtrudenD
scijava.roi.dimconstraint.DimConstraintSet	scijava.roi.types.DimConstraintSetnD
