#Type	Representation	In	Out
scijava.roi.shape.Point	scijava.roi.types.Vertex1D	true	true
scijava.roi.shape.Point	scijava.roi.types.Vertex2D	true	true
scijava.roi.shape.Point	scijava.roi.types.Vertex3D	true	true
scijava.roi.shape.Points	scijava.roi.types.Points1D	true	true
scijava.roi.shape.Points	scijava.roi.types.Points2D	true	true
scijava.roi.shape.Points	scijava.roi.types.Points3D	true	true
scijava.roi.shape.Line	scijava.roi.types.LinePoints1D	true	true
scijava.roi.shape.Line	scijava.roi.types.LineVector1D	true	true
scijava.roi.shape.Line	scijava.roi.types.LinePoints2D	true	true
scijava.roi.shape.Line	scijava.roi.types.LineVector2D	true	true
scijava.roi.shape.Line	scijava.roi.types.LinePoints3D	true	true
scijava.roi.shape.Line	scijava.roi.types.LineVector3D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesPoints1D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesVectors1D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesPoints2D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesVectors2D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesPoints3D	true	true
scijava.roi.shape.Lines	scijava.roi.types.LinesVectors3D	true	true
scijava.roi.shape.Lines	scijava.roi.shape.Line	true	false
scijava.roi.shape.Polyline	scijava.roi.types.PolylinePoints1D	true	true
scijava.roi.shape.Polyline	scijava.roi.types.PolylineVector1D	true	true
scijava.roi.shape.Polyline	scijava.roi.types.PolylinePoints2D	true	true
scijava.roi.shape.Polyline	scijava.roi.types.PolylineVector2D	true	true
scijava.roi.shape.Polyline	scijava.roi.types.PolylinePoints3D	true	true
scijava.roi.shape.Polyline	scijava.roi.types.PolylineVector3D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylinePoints1D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylineVector1D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylinePoints2D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylineVector2D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylinePoints3D	true	true
scijava.roi.shape.Polygon	scijava.roi.types.PolylineVector3D	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedSquare1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedSquare2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Square1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Square2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedCube1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedCube2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Cube1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Cube2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedRectangle1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedRectangle2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Rectangle1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Rectangle2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedCuboid1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.AlignedCuboid2	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Cuboid1	true	true
scijava.roi.shape.Cuboid	scijava.roi.types.Cuboid2	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere0	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere1	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere2	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere3	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere4	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere5	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.Sphere6	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.AlignedHalfAxes3D	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.types.HalfAxes3D	true	true
scijava.roi.shape.Ellipsoid	scijava.roi.shape.Cuboid	true	true
scijava.roi.shape.PolylineSpline	scijava.roi.types.PolylinePoints2D	true	true
scijava.roi.shape.PolylineSpline	scijava.roi.types.PolylineVector2D	true	true
scijava.roi.shape.PolylineSpline	scijava.roi.types.PolylinePoints3D	true	true
scijava.roi.shape.PolylineSpline	scijava.roi.types.PolylineVector3D	true	true
scijava.roi.shape.PolygonSpline	scijava.roi.types.PolylinePoints2D	true	true
scijava.roi.shape.PolygonSpline	scijava.roi.types.PolylineVector2D	true	true
scijava.roi.shape.PolygonSpline	scijava.roi.types.PolylinePoints3D	true	true
scijava.roi.shape.PolygonSpline	scijava.roi.types.PolylineVector3D	true	true
#scijava.roi.shape.AlignedCircularCylinder	TODO	true	TODO
#scijava.roi.shape.AlignedEllipticCylinder	TODO	true	TODO
scijava.roi.shape.Cylinder	scijava.roi.types.Circle0	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.Circle1	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.Circle2	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.Circle3	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.Circle4	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.Circle5	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.AlignedHalfAxes2D	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.HalfAxes2D	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.CircularCylinder1	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.CircularCylinder2	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.CircularCylinder3	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.CircularCylinder4	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.EllipticCylinder1	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.EllipticCylinder2	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.EllipticCylinder3	true	true
scijava.roi.shape.Cylinder	scijava.roi.types.EllipticCylinder4	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc12D	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc22D	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc32D	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc13D	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc23D	true	true
scijava.roi.shape.Arc	scijava.roi.types.Arc33D	true	true
scijava.roi.shape.GreyMask	scijava.roi.types.AlignedGreyMask1D	true	true
scijava.roi.shape.BitMask	scijava.roi.types.AlignedBitMask1D	true	true
scijava.roi.shape.GreyMask	scijava.roi.types.AlignedGreyMask2D	true	true
scijava.roi.shape.GreyMask	scijava.roi.types.GreyMask2D	true	true
scijava.roi.shape.BitMask	scijava.roi.types.AlignedBitMask2D	true	true
scijava.roi.shape.BitMask	scijava.roi.types.BitMask2D	true	true
scijava.roi.shape.GreyMask	scijava.roi.types.AlignedGreyMask3D	true	true
scijava.roi.shape.GreyMask	scijava.roi.types.GreyMask3D	true	true
scijava.roi.shape.BitMask	scijava.roi.types.AlignedBitMask3D	true	true
scijava.roi.shape.BitMask	scijava.roi.types.BitMask3D	true	true
scijava.roi.shape.Mesh	scijava.roi.types.Mesh2D	true	true
scijava.roi.shape.Mesh	scijava.roi.types.Mesh3D	true	true
scijava.roi.shape.AffineTransform	scijava.roi.types.AffineTransform1D	true	true
scijava.roi.shape.AffineTransform	scijava.roi.types.TranslateTransform1D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.ScaleTransform1D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.AffineTransform2D	true	true
scijava.roi.shape.AffineTransform	scijava.roi.types.TranslateTransform2D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.ScaleTransform2D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.RotateTransform2D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.AffineTransform3D	true	true
scijava.roi.shape.AffineTransform	scijava.roi.types.TranslateTransform3D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.ScaleTransform3D	true	false
scijava.roi.shape.AffineTransform	scijava.roi.types.RotateTransform3D	true	false
scijava.roi.shape.AbstractTransform	scijava.roi.types.AbstractTransform1D	true	true
scijava.roi.shape.AbstractTransform	scijava.roi.types.AbstractTransform2D	true	true
scijava.roi.shape.AbstractTransform	scijava.roi.types.AbstractTransform3D	true	true
scijava.roi.shape.Set	scijava.roi.types.ShapeSet	true	true
scijava.roi.shape.Bitwise	scijava.roi.types.Bitwise1D	true	true
scijava.roi.shape.Bitwise	scijava.roi.types.Bitwise2D	true	true
scijava.roi.shape.Bitwise	scijava.roi.types.Bitwise3D	true	true
scijava.roi.shape.Custom	scijava.roi.types.Custom	true	true
scijava.roi.annotation.Text	scijava.roi.types.Text	true	true
scijava.roi.annotation.Scale	scijava.roi.shape.Line	true	false
scijava.roi.annotation.Grid	scijava.roi.shape.Cuboid	true	false
scijava.roi.dimconstraint.Value	scijava.roi.types.ValuenD	true	true
scijava.roi.dimconstraint.Values	scijava.roi.types.ValuesnD	true	true
scijava.roi.dimconstraint.Range	scijava.roi.types.Range1nD	true	true
scijava.roi.dimconstraint.Range	scijava.roi.types.Range2nD	true	true
scijava.roi.dimconstraint.Extrude	scijava.roi.types.Extrude	true	true
scijava.roi.dimconstraint.Set	scijava.roi.types.DimConstraintSet	true	true
