#Primitive	JavaType
scijava.roi.types.TypeID	short
scijava.roi.types.Count	int
scijava.roi.types.Index	int
scijava.roi.types.Value	double
scijava.roi.types.Operator	enum
scijava.roi.types.BLogic	enum
scijava.roi.types.Color	double[4]
scijava.roi.types.Int8	byte
scijava.roi.types.Int16	short
scijava.roi.types.Int32	int
scijava.roi.types.Int64	long
scijava.roi.types.UInt8	short
scijava.roi.types.UInt16	int
scijava.roi.types.UInt32	long
scijava.roi.types.UInt64	java.math.BigInteger
scijava.roi.types.Float32	float
scijava.roi.types.Float64	double
#scijava.roi.types.Vertex1D	scijava.roi.types.Point1D
#scijava.roi.types.Vertex2D	scijava.roi.types.Point2D
#scijava.roi.types.Vertex3D	scijava.roi.types.Point3D
#scijava.roi.types.VertexnD	scijava.roi.types.PointnD
#scijava.roi.types.Vector1D	scijava.roi.types.Vector1D
#scijava.roi.types.Vector2D	scijava.roi.types.Vector2D
#scijava.roi.types.Vector3D	scijava.roi.types.Vector3D
#scijava.roi.types.VectornD	scijava.roi.types.VectornD
#scijava.roi.types.AffineTransform1D	scijava.roi.types.Matrix2D
#scijava.roi.types.AffineTransform2D	scijava.roi.types.Matrix3D
#scijava.roi.types.AffineTransform3D	scijava.roi.types.Matrix4D
#scijava.roi.types.AffineTransformnD	scijava.roi.types.MatrixnD
scijava.roi.types.String	String

