#Name	Description

## Primitive numeric types

scijava.roi.types.Null	Null type (used to indicate the absence of optional type)

scijava.roi.types.TypeID	Numeric shape identifier

scijava.roi.types.UInt8	Unsigned 8-bit integer
scijava.roi.types.UInt16	Unsigned 16-bit integer
scijava.roi.types.UInt32	Unsigned 32-bit integer
scijava.roi.types.UInt64	Unsigned 64-bit integer
#scijava.roi.types.UInt128	Unsigned 128-bit integer (placeholder)

scijava.roi.types.Int8	Signed 8-bit integer
scijava.roi.types.Int16	Signed 16-bit integer
scijava.roi.types.Int32	Signed 32-bit integer
scijava.roi.types.Int64	Signed 64-bit integer
#scijava.roi.types.Int128	Signed 128-bit integer (placeholder)

scijava.roi.types.Float32	Single precision floating point number
scijava.roi.types.Float64	Double precision floating point number
#scijava.roi.types.Float128	Quadruple precision floating point number (placeholder)

## Primitive compound types

scijava.roi.types.String	Text string

# double[4] = 32 bytes; a more compact representation could be used
scijava.roi.types.Color	Color in RGBA (0,1) range

## Enumerated types

scijava.roi.types.Operator	Mathematical operator
scijava.roi.types.BLogic	Bitwise binary logical operator

scijava.roi.types.Count	Number of objects
scijava.roi.types.Index	Index into an array
scijava.roi.types.Value	Numerical value

## Generic containers

scijava.roi.types.Pair	Pair of values (for map and graph containers)
scijava.roi.types.Array	Fixed length ordered array
scijava.roi.types.Set	Fixed length unordered set
scijava.roi.types.Map	Fixed length unordered map
scijava.roi.types.DirectedGraph	Fixed length directed graph


## Representations

#Add representations for unit vectors?  RUnitVector?
scijava.roi.types.Vertex1D	Vertex in 1D
scijava.roi.types.Vertex2D	Vertex in 2D
scijava.roi.types.Vertex3D	Vertex in 3D
scijava.roi.types.VertexnD	Vertex in nD
scijava.roi.types.Vector1D	Vector in 1D
scijava.roi.types.Vector2D	Vector in 2D
scijava.roi.types.Vector3D	Vector in 3D
scijava.roi.types.VectornD	Vector in nD
scijava.roi.types.VertexList1D	A list of vertices in 1D
scijava.roi.types.VertexList2D	A list of vertices in 2D
scijava.roi.types.VertexList3D	A list of vertices in 3D
scijava.roi.types.VertexListnD	A list of vertices in nD
scijava.roi.types.Vectors1D	A list of vectors in 1D
scijava.roi.types.Vectors2D	A list of vectors in 2D
scijava.roi.types.Vectors3D	A list of vectors in 3D
scijava.roi.types.VectorsnD	A list of vectors in nD
scijava.roi.types.LinePoints1D	A line described by two points in 1D
scijava.roi.types.LinePoints2D	A line described by two points in 2D
scijava.roi.types.LinePoints3D	A line described by two points in 3D
scijava.roi.types.LineVector1D	A line described by a point and a vector
scijava.roi.types.LineVector2D	A line described by a point and a vector
scijava.roi.types.LineVector3D	A line described by a point and a vector
scijava.roi.types.LinesPoints1D	A list of lines described by two points in 1D
scijava.roi.types.LinesPoints2D	A list of lines described by two points in 2D
scijava.roi.types.LinesPoints3D	A list of lines described by two points in 3D
scijava.roi.types.LinesVectors1D	A list of lines described by a point and a vector in 1D; can be used to represent a vector field
scijava.roi.types.LinesVectors2D	A list of lines described by a point and a vector in 2D; can be used to represent a vector field
scijava.roi.types.LinesVectors3D	A list of lines described by a point and a vector in 3D; can be used to represent a vector field
scijava.roi.types.PolylinePoints1D	A list of points in a polyline in 1D [could use RPoints1D directly]
scijava.roi.types.PolylinePoints2D	A list of points in a polyline in 2D [could use RPoints2D directly]
scijava.roi.types.PolylinePoints3D	A list of points in a polyline in 3D [could use RPoints3D directly]
scijava.roi.types.PolylineVector1D	A list of points in a polyline represented by a starting point and list of vectors in 1D
scijava.roi.types.PolylineVector2D	A list of points in a polyline represented by a starting point and list of vectors in 2D
scijava.roi.types.PolylineVector3D	A list of points in a polyline represented by a starting point and list of vectors in 3D
scijava.roi.types.AlignedSquare1	A square in 2D aligned with the axes described by a corner point and adjacent corner
scijava.roi.types.AlignedSquare2	A square in 2D aligned with the axes described by a corner point and vector to an adjacent corner
scijava.roi.types.AlignedCube1	A cube in 3D aligned with the axes described by a corner point and adjacent corner
scijava.roi.types.AlignedCube2	A cube in 3D aligned with the axes described by a corner point and vector to an adjacent corner

scijava.roi.types.AlignedRectangle1	An aligned rectangle described by two points in 2D
scijava.roi.types.AlignedRectangle2	An aligned rectangle described by a point and a vector
scijava.roi.types.AlignedCuboid1	An aligned cuboid described by two points in 3D
scijava.roi.types.AlignedCuboid2	An aligned cuboid described by a point and a vector
